movieId,title,genres
7,Sabrina (1995),Comedy|Romance
10,GoldenEye (1995),Action|Adventure|Thriller
13,Balto (1995),Adventure|Animation|Children
27,Now and Then (1995),Children|Drama
38,It Takes Two (1995),Children|Comedy
44,Mortal Kombat (1995),Action|Adventure|Fantasy
46,How to Make an American Quilt (1995),Drama|Romance
61,Eye for an Eye (1996),Drama|Thriller
72,Kicking and Screaming (1995),Comedy|Drama
111,Taxi Driver (1976),Crime|Drama|Thriller
139,Target (1995),Action|Drama
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
149,Amateur (1994),Crime|Drama|Thriller
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
192,The Show (1995),Documentary
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
225,Disclosure (1994),Drama|Thriller
267,Major Payne (1995),Comedy
270,Love Affair (1994),Drama|Romance
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
337,What's Eating Gilbert Grape (1993),Drama
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
357,Four Weddings and a Funeral (1994),Comedy|Romance
383,Wyatt Earp (1994),Western
401,Mirage (1995),Action|Thriller
402,Open Season (1996),Comedy
434,Cliffhanger (1993),Action|Adventure|Thriller
448,Fearless (1993),Drama
453,For Love or Money (1993),Comedy|Romance
455,Free Willy (1993),Adventure|Children|Drama
470,House Party 3 (1994),Comedy
474,In the Line of Fire (1993),Action|Thriller
494,Executive Decision (1996),Action|Adventure|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
501,Naked (1993),Drama
504,No Escape (1994),Action|Drama|Sci-Fi
508,Philadelphia (1993),Drama
527,Schindler's List (1993),Drama|War
529,Searching for Bobby Fischer (1993),Drama
540,Sliver (1993),Thriller
590,Dances with Wolves (1990),Adventure|Drama|Western
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
653,Dragonheart (1996),Action|Adventure|Fantasy
692,Solo (1996),Action|Sci-Fi|Thriller
762,Striptease (1996),Comedy|Crime
764,Heavy (1995),Drama|Romance
778,Trainspotting (1996),Comedy|Crime|Drama
785,Kingpin (1996),Comedy
804,She's the One (1996),Comedy|Romance
840,House Arrest (1996),Children|Comedy
875,Nothing to Lose (1994),Action|Crime|Drama
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
915,Sabrina (1954),Comedy|Romance
928,Rebecca (1940),Drama|Mystery|Romance|Thriller
938,Gigi (1958),Musical
948,Giant (1956),Drama|Romance|Western
971,Cat on a Hot Tin Roof (1958),Drama
987,Bliss (1997),Drama|Romance
990,Maximum Risk (1996),Action|Adventure|Thriller
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1080,Monty Python's Life of Brian (1979),Comedy
1084,Bonnie and Clyde (1967),Crime|Drama
1090,Platoon (1986),Drama|War
1092,Basic Instinct (1992),Crime|Mystery|Thriller
1103,Rebel Without a Cause (1955),Drama
1115,Sleepover (1995),Drama
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1188,Strictly Ballroom (1992),Comedy|Romance
1192,Paris Is Burning (1990),Documentary
1213,Goodfellas (1990),Crime|Drama
1219,Psycho (1960),Crime|Horror
1227,Once Upon a Time in America (1984),Crime|Drama
1228,Raging Bull (1980),Drama
1236,Trust (1990),Comedy|Drama|Romance
1276,Cool Hand Luke (1967),Drama
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1301,Forbidden Planet (1956),Drama|Sci-Fi
1342,Candyman (1992),Horror|Thriller
1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1358,Sling Blade (1996),Drama
1380,Grease (1978),Comedy|Musical|Romance
1385,Under Siege (1992),Action|Drama|Thriller
1387,Jaws (1975),Action|Horror
1388,Jaws 2 (1978),Horror|Thriller
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
1409,Michael (1996),Comedy|Drama|Fantasy|Romance
1414,Mother (1996),Comedy
1430,Underworld (1996),Comedy|Thriller
1431,Beverly Hills Ninja (1997),Action|Comedy
1432,Metro (1997),Action|Comedy|Crime|Drama|Thriller
1438,Dante's Peak (1997),Action|Thriller
1457,Fools Rush In (1997),Comedy|Drama|Romance
1466,Donnie Brasco (1997),Crime|Drama
1470,Rhyme & Reason (1997),Documentary
1477,Love Jones (1997),Romance
1483,Crash (1996),Drama|Thriller
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1590,Event Horizon (1997),Horror|Sci-Fi|Thriller
1604,Money Talks (1997),Action|Comedy
1608,Air Force One (1997),Action|Thriller
1620,Kiss the Girls (1997),Crime|Drama|Mystery|Thriller
1627,U Turn (1997),Crime|Drama|Mystery
1639,Chasing Amy (1997),Comedy|Drama|Romance
1640,How to Be a Player (1997),Comedy
1663,Stripes (1981),Comedy|War
1668,One Night Stand (1997),Drama
1673,Boogie Nights (1997),Drama
1717,Scream 2 (1997),Comedy|Horror|Mystery|Thriller
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1729,Jackie Brown (1997),Crime|Drama|Thriller
1754,Fallen (1998),Crime|Drama|Fantasy|Thriller
1784,As Good as It Gets (1997),Comedy|Drama|Romance
1791,Twilight (1998),Crime|Drama|Thriller
1798,Hush (1998),Thriller
1856,Kurt & Courtney (1998),Documentary
1864,Sour Grapes (1998),Comedy
1877,Little Men (1998),Drama
1884,Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama
1886,I Got the Hook Up (1998),Comedy
1895,Can't Hardly Wait (1998),Comedy|Drama|Romance
1920,Small Soldiers (1998),Animation|Children|Fantasy|War
1931,Mutiny on the Bounty (1935),Adventure|Drama
1954,Rocky (1976),Drama
1956,Ordinary People (1980),Drama
1961,Rain Man (1988),Drama
1967,Labyrinth (1986),Adventure|Fantasy|Musical
1974,Friday the 13th (1980),Horror|Mystery|Thriller
1987,Prom Night (1980),Horror
1991,Child's Play (1988),Horror|Thriller
2025,Lolita (1997),Drama|Romance
2060,BASEketball (1998),Comedy
2067,Doctor Zhivago (1965),Drama|Romance|War
2088,Popeye (1980),Adventure|Comedy|Musical
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
2137,Charlotte's Web (1973),Animation|Children
2143,Legend (1985),Adventure|Fantasy|Romance
2160,Rosemary's Baby (1968),Drama|Horror|Thriller
2190,Why Do Fools Fall In Love? (1998),Drama
